Cancer_Type,Gene,Comparison,Interacting_Protein,P_Value
Colon,MUC5B,PCK2_proteomics,True,1.136849691525057e-05
Colon,MUC5B,MRE11_proteomics,False,1.1440449483084914e-10
Colon,MUC5B,GPX2_proteomics,False,5.988005559593096e-10
Colon,MUC5B,ANP32E_proteomics,False,3.0425034522074407e-09
Colon,MUC5B,KRT20_proteomics,False,3.969811020780834e-09
Colon,MUC5B,RAD50_proteomics,False,9.817990596718724e-09
Colon,MUC5B,PRDX5_proteomics,False,5.077904736144945e-08
Colon,MUC5B,ARHGEF2_proteomics,False,7.919124398704847e-08
Colon,MUC5B,NFKB2_proteomics,False,1.471186531492605e-07
Colon,MUC5B,MRPS31_proteomics,False,3.7905788168608435e-07
Colon,MUC5B,PCSK9_proteomics,False,4.4055334059876357e-07
Colon,MUC5B,HNF4A_proteomics,False,6.761123017630671e-07
Colon,MUC5B,VTN_proteomics,False,8.848483689333622e-07
Colon,MUC5B,MYO15B_proteomics,False,9.027893900759451e-07
Colon,MUC5B,NUBPL_proteomics,False,9.960364949810273e-07
Colon,MUC5B,FUNDC1_proteomics,False,1.0255020782879187e-06
Colon,MUC5B,ACSL5_proteomics,False,1.2892723275297748e-06
Colon,MUC5B,ACE2_proteomics,False,1.3326483127022855e-06
Colon,MUC5B,GALNT1_proteomics,False,1.374054654757472e-06
Colon,MUC5B,A1CF_proteomics,False,1.5035801712564285e-06
Colon,MUC5B,TFCP2L1_proteomics,False,1.6669012594414214e-06
Colon,MUC5B,SLC16A3_proteomics,False,2.2628953073637697e-06
Colon,MUC5B,PLA2G4A_proteomics,False,2.3202621591484558e-06
Colon,MUC5B,AIFM1_proteomics,False,2.482703304097596e-06
Colon,MUC5B,GYS1_proteomics,False,2.763099870498429e-06
Colon,MUC5B,ENGASE_proteomics,False,2.7944021201432828e-06
Colon,MUC5B,PKM_proteomics,False,3.0854043080840037e-06
Colon,MUC5B,SMCHD1_proteomics,False,3.1795211625452174e-06
Colon,MUC5B,ARHGEF1_proteomics,False,3.8029872076334715e-06
Colon,MUC5B,C8A_proteomics,False,4.0313193275127575e-06
Colon,MUC5B,ALDH2_proteomics,False,4.510004206853913e-06
Colon,MUC5B,F9_proteomics,False,4.895849979581375e-06
Colon,MUC5B,VAPB_proteomics,False,4.916238748266623e-06
Colon,MUC5B,SSFA2_proteomics,False,4.9891026898749115e-06
Colon,MUC5B,MMS19_proteomics,False,5.148296360139335e-06
Colon,MUC5B,CFHR5_proteomics,False,5.171753742055454e-06
Colon,MUC5B,C7_proteomics,False,5.632117917511945e-06
Colon,MUC5B,RIDA_proteomics,False,6.1711263970295615e-06
Colon,MUC5B,MUC20_transcriptomics,True,4.319530374709825e-06
Colon,MUC5B,FRMD1_transcriptomics,True,1.3401570484794176e-05
Colon,MUC5B,ST6GAL1_transcriptomics,True,6.72547053425791e-05
Colon,MUC5B,MUC12_transcriptomics,True,0.00011081665689741863
Colon,MUC5B,ST6GALNAC2_transcriptomics,True,0.0006152778572175004
Endometrial,MUC5B,FAM86HP_transcriptomics,False,1.094390407023974e-06
Colon,MUC5B,GPX2_transcriptomics,False,1.7580012529248374e-10
Colon,MUC5B,POU5F1B_transcriptomics,False,4.688793872366433e-10
Colon,MUC5B,RUBCNL_transcriptomics,False,1.5416039954496951e-09
Colon,MUC5B,ATP10B_transcriptomics,False,3.068561943953891e-09
Colon,MUC5B,NUBPL_transcriptomics,False,3.884908306489183e-09
Colon,MUC5B,CEACAM5_transcriptomics,False,6.870982213060319e-09
Colon,MUC5B,CEACAM6_transcriptomics,False,9.942373049174669e-09
Colon,MUC5B,ADNP2_transcriptomics,False,1.1557368109698964e-08
Colon,MUC5B,DLGAP1-AS2_transcriptomics,False,1.2213127950729656e-08
Colon,MUC5B,TOR1AIP2_transcriptomics,False,1.2755995630817144e-08
Colon,MUC5B,GRM8_transcriptomics,False,1.85140890962541e-08
Colon,MUC5B,LY6G6D_transcriptomics,False,2.788723008339303e-08
Colon,MUC5B,CCSAP_transcriptomics,False,3.18064255289893e-08
Colon,MUC5B,EPDR1_transcriptomics,False,3.8080451895609985e-08
Colon,MUC5B,ACE2_transcriptomics,False,4.3768836072086356e-08
Colon,MUC5B,NR1I2_transcriptomics,False,4.771505878240704e-08
Colon,MUC5B,MAPK12_transcriptomics,False,5.517810110705661e-08
Colon,MUC5B,CASC21_transcriptomics,False,5.951665732284207e-08
Colon,MUC5B,LINC00513_transcriptomics,False,9.176024133863556e-08
Colon,MUC5B,GPR143_transcriptomics,False,1.0718997596229199e-07
Colon,MUC5B,PIAS2_transcriptomics,False,1.2641595993332514e-07
Colon,MUC5B,LINC01560_transcriptomics,False,1.5141424097993634e-07
Colon,MUC5B,THUMPD3-AS1_transcriptomics,False,1.6895763975022294e-07
Colon,MUC5B,SLC25A13_transcriptomics,False,1.8645438168466032e-07
Colon,MUC5B,CXXC1_transcriptomics,False,2.0884440649017546e-07
Colon,MUC5B,TNNC2_transcriptomics,False,2.443947242577787e-07
Colon,MUC5B,TDGF1_transcriptomics,False,2.727110851988661e-07
Colon,MUC5B,CFTR_transcriptomics,False,2.870299634566229e-07
Colon,MUC5B,CTTNBP2_transcriptomics,False,3.0821511836283754e-07
Colon,MUC5B,TSPAN6_transcriptomics,False,3.7189900462957e-07
Colon,MUC5B,NUDT7_transcriptomics,False,3.823712453104925e-07
Colon,MUC5B,PLA2G4A_transcriptomics,False,3.92363616701632e-07
Colon,MUC5B,LPCAT1_transcriptomics,False,4.499565096671483e-07
Colon,MUC5B,ANP32E_transcriptomics,False,5.041032576804993e-07
Colon,MUC5B,NOX1_transcriptomics,False,5.888151223219221e-07
Colon,MUC5B,SHROOM4_transcriptomics,False,6.828909044069757e-07
Colon,MUC5B,CCAT1_transcriptomics,False,7.921608973153444e-07
Colon,MUC5B,RPS6KA6_transcriptomics,False,8.108066957045861e-07
Colon,MUC5B,GJB1_transcriptomics,False,9.587176397236441e-07
Colon,MUC5B,SMAP1_transcriptomics,False,1.0435191544628932e-06
Colon,MUC5B,ILDR1_transcriptomics,False,1.0496663692547966e-06
Colon,MUC5B,KDSR_transcriptomics,False,1.1479083677936695e-06
Colon,MUC5B,SKA1_transcriptomics,False,1.1693775535642215e-06
Colon,MUC5B,KRT20_transcriptomics,False,1.1729836290091141e-06
Colon,MUC5B,SLC19A3_transcriptomics,False,1.1903203146329082e-06
Colon,MUC5B,CDHR1_transcriptomics,False,1.1965883679522437e-06
Colon,MUC5B,ARHGAP10_transcriptomics,False,1.2116462240052477e-06
Colon,MUC5B,MRE11_transcriptomics,False,1.4034036064239948e-06
Colon,MUC5B,PIGX_transcriptomics,False,1.4183771383950158e-06
Colon,MUC5B,MBP_transcriptomics,False,1.5460440075794942e-06
Colon,MUC5B,MYZAP_transcriptomics,False,1.5610007590636292e-06
Colon,MUC5B,PRAP1_transcriptomics,False,1.6929210449708544e-06
Colon,MUC5B,SEMA5A_transcriptomics,False,1.824960705909177e-06
Colon,MUC5B,THRAP3_transcriptomics,False,2.186982865576402e-06
