0.00999, 0.07947, 0.11491, 0.15432, 0.2061, 0.27196, 0.35173, 0.46331, 0.6481, 1.05758, 12.67613
0.00685, 0.05453, 0.07884, 0.10589, 0.14142, 0.18661, 0.24134, 0.31791, 0.4447, 0.72567, 8.69789
0.00555, 0.04412, 0.0638, 0.08568, 0.11443, 0.15099, 0.19528, 0.25723, 0.35983, 0.58718, 7.03788
0.00478, 0.03805, 0.05501, 0.07388, 0.09867, 0.1302, 0.16838, 0.2218, 0.31027, 0.5063, 6.06851
0.00427, 0.03394, 0.04908, 0.06591, 0.08803, 0.11615, 0.15022, 0.19788, 0.2768, 0.45169, 5.41393
0.00389, 0.03093, 0.04472, 0.06007, 0.08022, 0.10585, 0.1369, 0.18033, 0.25226, 0.41164, 4.9339
0.00359, 0.0286, 0.04136, 0.05554, 0.07418, 0.09788, 0.12659, 0.16676, 0.23327, 0.38065, 4.56246
0.00336, 0.02673, 0.03865, 0.05191, 0.06933, 0.09148, 0.11831, 0.15585, 0.21801, 0.35575, 4.26398
0.00317, 0.02519, 0.03642, 0.04891, 0.06532, 0.08619, 0.11147, 0.14683, 0.2054, 0.33517, 4.01734
0.003, 0.02388, 0.03453, 0.04637, 0.06193, 0.08172, 0.10569, 0.13922, 0.19475, 0.3178, 3.80911
