Cancer_Type,Gene,Comparison,Interacting_Protein,P_Value
Endometrial,ARID1A,ARID1A_proteomics,True,1.0250180625304501e-10
Endometrial,ARID1A,DPF2_proteomics,True,2.1666091867648467e-07
Endometrial,ARID1A,SMARCB1_proteomics,True,6.885135488619889e-05
Endometrial,ARID1A,SMARCC2_proteomics,True,8.270473285483759e-05
Endometrial,ARID1A,SMARCE1_proteomics,True,0.00014980267328352896
Endometrial,ARID1A,SMARCD1_proteomics,True,0.00017449149012151386
Endometrial,ARID1A,BCL7C_proteomics,True,0.00043795374490157736
Endometrial,ARID1A,CCND1_proteomics,True,0.0014998319340678405
Colon,ARID1A,BAZ1B_proteomics,True,0.0008406289293543091
Colon,ARID1A,ARID1A_proteomics,True,0.0013052085048668597
Ovarian,ARID1A,ING1_proteomics,True,9.149983956599115e-07
Endometrial,ARID1A,ARID1A_proteomics,False,1.0250180625304501e-10
Endometrial,ARID1A,MAP1S_proteomics,False,1.0101488060908813e-07
Endometrial,ARID1A,DPF2_proteomics,False,2.1666091867648467e-07
Endometrial,ARID1A,KDM4B_proteomics,False,4.414547432570035e-07
Endometrial,ARID1A,RRM1_proteomics,False,4.4558696212664974e-07
Endometrial,ARID1A,MAP7D3_proteomics,False,4.880889803877513e-07
Endometrial,ARID1A,CYTH3_proteomics,False,3.1093964024161207e-06
Endometrial,ARID1A,CEP78_proteomics,False,3.749172338636692e-06
Ovarian,ARID1A,OLFM4_proteomics,False,4.6582043967293213e-07
Ovarian,ARID1A,TIMP1_proteomics,False,5.699514123205274e-07
Ovarian,ARID1A,PAXIP1_proteomics,False,5.812213144094734e-07
Ovarian,ARID1A,ING1_proteomics,False,9.149983956599115e-07
Ovarian,ARID1A,ZBTB40_proteomics,False,2.6589644627568937e-06
Ovarian,ARID1A,PIGR_proteomics,False,2.71263847001722e-06
Ovarian,ARID1A,TMEM63A_proteomics,False,3.9256455844887705e-06
Ovarian,ARID1A,PGR_transcriptomics,True,6.009689057520513e-08
Endometrial,ARID1A,PRNP_transcriptomics,False,7.546881016167983e-09
Endometrial,ARID1A,SAPCD2_transcriptomics,False,7.544245063885869e-08
Endometrial,ARID1A,CDH1_transcriptomics,False,1.324795467653071e-07
Endometrial,ARID1A,EYA4_transcriptomics,False,1.6834413726712495e-07
Endometrial,ARID1A,FAM57A_transcriptomics,False,3.737112924159592e-07
Endometrial,ARID1A,PCLAF_transcriptomics,False,3.860433612836185e-07
Endometrial,ARID1A,LRBA_transcriptomics,False,8.352877744007977e-07
Endometrial,ARID1A,TDRD10_transcriptomics,False,9.668602521604662e-07
Endometrial,ARID1A,WDR34_transcriptomics,False,1.3086085097530848e-06
Endometrial,ARID1A,LHCGR_transcriptomics,False,1.3680577904455822e-06
Endometrial,ARID1A,FAM110B_transcriptomics,False,1.5679023211730672e-06
Colon,ARID1A,TDGF1_transcriptomics,False,3.068548809184623e-08
Colon,ARID1A,AXIN2_transcriptomics,False,6.590190451733938e-07
Colon,ARID1A,APOL2_transcriptomics,False,6.89700730915865e-07
Colon,ARID1A,RNF43_transcriptomics,False,1.2165610192251385e-06
Colon,ARID1A,POU5F1B_transcriptomics,False,1.4004399170556615e-06
Colon,ARID1A,IL15_transcriptomics,False,1.5294318193815647e-06
Colon,ARID1A,FAM71E1_transcriptomics,False,2.573589515113863e-06
Colon,ARID1A,ROCK2_transcriptomics,False,3.3706212681898066e-06
Ovarian,ARID1A,MTNR1B_transcriptomics,False,4.806921635770072e-16
Ovarian,ARID1A,CDK20_transcriptomics,False,2.99879061358804e-15
Ovarian,ARID1A,HMX3_transcriptomics,False,2.8267241643246456e-14
Ovarian,ARID1A,RXFP1_transcriptomics,False,4.1682958863316354e-13
Ovarian,ARID1A,GPR97_transcriptomics,False,5.061682439413737e-13
Ovarian,ARID1A,TUNAR_transcriptomics,False,5.713628102687362e-13
Ovarian,ARID1A,SLC26A2_transcriptomics,False,1.8655773653584647e-12
Ovarian,ARID1A,PGAP2_transcriptomics,False,3.42079979178968e-12
Ovarian,ARID1A,ANKRD20A12P_transcriptomics,False,9.261376240743642e-12
Ovarian,ARID1A,TNFRSF18_transcriptomics,False,9.514260116862112e-12
Ovarian,ARID1A,HGD_transcriptomics,False,1.0709830075713248e-11
Ovarian,ARID1A,C10orf71_transcriptomics,False,3.187756864370979e-11
Ovarian,ARID1A,LOC100506526_transcriptomics,False,3.325322887867091e-11
Ovarian,ARID1A,C2CD4B_transcriptomics,False,3.860607645568484e-11
Ovarian,ARID1A,MFAP3L_transcriptomics,False,1.4177727810917703e-10
Ovarian,ARID1A,LINC00645_transcriptomics,False,2.3217059069074997e-10
Ovarian,ARID1A,OLFM4_transcriptomics,False,2.8403191930308154e-10
Ovarian,ARID1A,HES2_transcriptomics,False,3.3181040668645434e-10
Ovarian,ARID1A,RNF186_transcriptomics,False,3.846149801860498e-10
Ovarian,ARID1A,SLC5A9_transcriptomics,False,4.499720111742706e-10
Ovarian,ARID1A,CCAT1_transcriptomics,False,4.591002142746993e-10
Ovarian,ARID1A,FGF14_transcriptomics,False,5.719452514055448e-10
Ovarian,ARID1A,LOC158434_transcriptomics,False,6.466855772464319e-10
Ovarian,ARID1A,GABRP_transcriptomics,False,8.434190617884172e-10
Ovarian,ARID1A,ERMN_transcriptomics,False,9.957976769128513e-10
Ovarian,ARID1A,SCGB2A1_transcriptomics,False,1.0852459641291408e-09
Ovarian,ARID1A,SERINC2_transcriptomics,False,1.1927871745189751e-09
Ovarian,ARID1A,HMX2_transcriptomics,False,2.306226910752132e-09
Ovarian,ARID1A,CAPN6_transcriptomics,False,2.674776125636817e-09
Ovarian,ARID1A,ELP3_transcriptomics,False,2.9626090539890562e-09
Ovarian,ARID1A,GUCA1C_transcriptomics,False,3.161250370909096e-09
Ovarian,ARID1A,GJD3_transcriptomics,False,3.3958858031297283e-09
Ovarian,ARID1A,RCAN1_transcriptomics,False,3.4625950581352168e-09
Ovarian,ARID1A,PIGR_transcriptomics,False,3.6933959946491374e-09
Ovarian,ARID1A,LOC102723769_transcriptomics,False,4.1635022531719666e-09
Ovarian,ARID1A,ARSA_transcriptomics,False,5.0553014205895145e-09
Ovarian,ARID1A,LINC00485_transcriptomics,False,5.38844039915596e-09
Ovarian,ARID1A,KLHDC7B_transcriptomics,False,5.819304420106738e-09
Ovarian,ARID1A,C2orf16_transcriptomics,False,6.91523660691182e-09
Ovarian,ARID1A,GDA_transcriptomics,False,9.863483082410701e-09
Ovarian,ARID1A,LRRC26_transcriptomics,False,1.0480376660043996e-08
Ovarian,ARID1A,MOGAT1_transcriptomics,False,1.0623343254725914e-08
Ovarian,ARID1A,CRELD2_transcriptomics,False,1.0633536938305038e-08
Ovarian,ARID1A,NCMAP_transcriptomics,False,1.2929155269853026e-08
Ovarian,ARID1A,MSX1_transcriptomics,False,1.2938028492832317e-08
Ovarian,ARID1A,SCNN1B_transcriptomics,False,1.3790590073084745e-08
Ovarian,ARID1A,AGR2_transcriptomics,False,1.3812334167174408e-08
Ovarian,ARID1A,LINC01207_transcriptomics,False,1.5377908626602854e-08
Ovarian,ARID1A,TCN1_transcriptomics,False,1.836584619097788e-08
Ovarian,ARID1A,LEFTY1_transcriptomics,False,1.8966594000673004e-08
Ovarian,ARID1A,MTRNR2L1_transcriptomics,False,2.340769516514367e-08
Ovarian,ARID1A,SPATA21_transcriptomics,False,2.4108457299438607e-08
Ovarian,ARID1A,CSF3_transcriptomics,False,2.5665285989951602e-08
Ovarian,ARID1A,GNRHR_transcriptomics,False,2.702726995106405e-08
Ovarian,ARID1A,RASD1_transcriptomics,False,3.1055960263888665e-08
Ovarian,ARID1A,SLC46A2_transcriptomics,False,3.1078369397920035e-08
Ovarian,ARID1A,SPRR2D_transcriptomics,False,3.434657273575341e-08
Ovarian,ARID1A,ANKS4B_transcriptomics,False,3.437250934622137e-08
Ovarian,ARID1A,BAIAP2L2_transcriptomics,False,3.824895689567828e-08
Ovarian,ARID1A,SERPINA4_transcriptomics,False,4.0831455205152815e-08
Ovarian,ARID1A,PHYHIPL_transcriptomics,False,4.3984129787371656e-08
Ovarian,ARID1A,ANAPC4_transcriptomics,False,4.594131527489017e-08
Ovarian,ARID1A,TFF3_transcriptomics,False,4.621356202780046e-08
Ovarian,ARID1A,PEBP4_transcriptomics,False,4.833007558116752e-08
Ovarian,ARID1A,C1orf64_transcriptomics,False,5.860661574781861e-08
Ovarian,ARID1A,PGR_transcriptomics,False,6.009689057520513e-08
Ovarian,ARID1A,OR8D4_transcriptomics,False,6.066134320231128e-08
Ovarian,ARID1A,PRR15_transcriptomics,False,6.277799755612737e-08
Ovarian,ARID1A,FAM150B_transcriptomics,False,6.393466747379486e-08
Ovarian,ARID1A,UBTFL1_transcriptomics,False,6.495183369577052e-08
Ovarian,ARID1A,FGL1_transcriptomics,False,6.645828965646139e-08
Ovarian,ARID1A,CCAT2_transcriptomics,False,6.927218831485965e-08
Ovarian,ARID1A,SERPINA3_transcriptomics,False,7.552142577241061e-08
Ovarian,ARID1A,ZBTB25_transcriptomics,False,7.63906307987213e-08
Ovarian,ARID1A,DUXA_transcriptomics,False,7.724915496263454e-08
Ovarian,ARID1A,STX18_transcriptomics,False,7.848818536510798e-08
Ovarian,ARID1A,MICALCL_transcriptomics,False,8.256948668172991e-08
Ovarian,ARID1A,CREB3L1_transcriptomics,False,8.576507377058034e-08
Ovarian,ARID1A,MSS51_transcriptomics,False,8.999093054271521e-08
Ovarian,ARID1A,CLCA1_transcriptomics,False,9.972245373861383e-08
Ovarian,ARID1A,SPDEF_transcriptomics,False,1.0258275643301175e-07
Ovarian,ARID1A,PLIN3_transcriptomics,False,1.0327974625218356e-07
Ovarian,ARID1A,FBXW10_transcriptomics,False,1.0655213296119976e-07
Ovarian,ARID1A,SCGB1D2_transcriptomics,False,1.0739410017980704e-07
Ovarian,ARID1A,PRAMEF12_transcriptomics,False,1.0806026790338812e-07
Ovarian,ARID1A,MMP26_transcriptomics,False,1.1943963358730814e-07
Ovarian,ARID1A,KRT24_transcriptomics,False,1.1959023091318184e-07
Ovarian,ARID1A,FAM149A_transcriptomics,False,1.2293655705909277e-07
Ovarian,ARID1A,MBD3L3_transcriptomics,False,1.2591721340699632e-07
Ovarian,ARID1A,SERPINA1_transcriptomics,False,1.3123417820735275e-07
Ovarian,ARID1A,MBD3L5_transcriptomics,False,1.4167213472690243e-07
Ovarian,ARID1A,MBD3L4_transcriptomics,False,1.4475371448031188e-07
Ovarian,ARID1A,PTGS2_transcriptomics,False,1.4806905708148885e-07
Ovarian,ARID1A,GP2_transcriptomics,False,1.5242547244495025e-07
Ovarian,ARID1A,MBD3L2_transcriptomics,False,1.5339355480862016e-07
Ovarian,ARID1A,SFTPB_transcriptomics,False,1.595007554255685e-07
Ovarian,ARID1A,HAVCR1_transcriptomics,False,1.595259181267142e-07
Ovarian,ARID1A,PRAMEF17_transcriptomics,False,1.6887655302772223e-07
Ovarian,ARID1A,SLC6A1-AS1_transcriptomics,False,1.6887655302772223e-07
Ovarian,ARID1A,AQP2_transcriptomics,False,1.6887655302772276e-07
Ovarian,ARID1A,IRGC_transcriptomics,False,1.6887655302772276e-07
Ovarian,ARID1A,OR10G7_transcriptomics,False,1.6887655302772276e-07
Ovarian,ARID1A,OR1L6_transcriptomics,False,1.6887655302772276e-07
Ovarian,ARID1A,OR2T34_transcriptomics,False,1.6887655302772276e-07
Ovarian,ARID1A,OR9G4_transcriptomics,False,1.6887655302772276e-07
Ovarian,ARID1A,SLC22A7_transcriptomics,False,1.6887655302772276e-07
Ovarian,ARID1A,SNAR-A13_transcriptomics,False,1.6887655302772276e-07
Ovarian,ARID1A,C10orf111_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,C18orf64_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,CREB3L4_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,DEFB106B_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,HNF1A_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,LINC00690_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,LL22NC01-81G9.3_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,MIR23B_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,MIR2682_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,MIR320A_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,MIR378D2_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,MIR4292_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,MIR4768_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,OR5M1_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,SLC7A13_transcriptomics,False,1.6887655302772405e-07
Ovarian,ARID1A,OR2G6_transcriptomics,False,1.6887655302772464e-07
Ovarian,ARID1A,SCGB1D4_transcriptomics,False,1.6920628599467112e-07
Ovarian,ARID1A,TINAG_transcriptomics,False,1.736456609918873e-07
Ovarian,ARID1A,TRIM49B_transcriptomics,False,1.8714745501674823e-07
Ovarian,ARID1A,SCUBE2_transcriptomics,False,1.899288928329224e-07
Ovarian,ARID1A,AMBRA1_transcriptomics,False,1.952494102197898e-07
Ovarian,ARID1A,KLK12_transcriptomics,False,2.0212890474702847e-07
Ovarian,ARID1A,SLC47A1_transcriptomics,False,2.0604795800722906e-07
Ovarian,ARID1A,TRIM53AP_transcriptomics,False,2.0824811548341085e-07
Ovarian,ARID1A,TUBB8_transcriptomics,False,2.086661059784716e-07
Ovarian,ARID1A,TRIM48_transcriptomics,False,2.1034251352852632e-07
Ovarian,ARID1A,SULT2B1_transcriptomics,False,2.158555848116106e-07
Ovarian,ARID1A,TRIM51_transcriptomics,False,2.2001485519597998e-07
Ovarian,ARID1A,TRIM64_transcriptomics,False,2.2005330748441e-07
Ovarian,ARID1A,PRAMEF7_transcriptomics,False,2.201341167283849e-07
Ovarian,ARID1A,LOC339593_transcriptomics,False,2.2385614112668031e-07
Ovarian,ARID1A,TRIM64B_transcriptomics,False,2.428481286360992e-07
Ovarian,ARID1A,SERPINA11_transcriptomics,False,2.4492843543173354e-07
Ovarian,ARID1A,MUC7_transcriptomics,False,2.4715472270708253e-07
Ovarian,ARID1A,MC3R_transcriptomics,False,2.619526665692835e-07
Ovarian,ARID1A,C15orf43_transcriptomics,False,2.667022057649134e-07
Ovarian,ARID1A,C5orf27_transcriptomics,False,2.7815929017312106e-07
Ovarian,ARID1A,KDM4E_transcriptomics,False,2.9032219187927994e-07
Ovarian,ARID1A,CRYL1_transcriptomics,False,3.0270524648089406e-07
Ovarian,ARID1A,SPRR2A_transcriptomics,False,3.0710505900264245e-07
Ovarian,ARID1A,OPN5_transcriptomics,False,3.1487396809209827e-07
Ovarian,ARID1A,LOC649324_transcriptomics,False,3.168328557720061e-07
Ovarian,ARID1A,LOC645354_transcriptomics,False,3.200396879193023e-07
Ovarian,ARID1A,AGTR2_transcriptomics,False,3.2800168160383103e-07
Ovarian,ARID1A,TMED6_transcriptomics,False,3.326057492965314e-07
Ovarian,ARID1A,FAM83E_transcriptomics,False,3.329018178127936e-07
Ovarian,ARID1A,TOX3_transcriptomics,False,3.5525187730400207e-07
Ovarian,ARID1A,LOC100505811_transcriptomics,False,3.596063329354492e-07
Ovarian,ARID1A,DLGAP1-AS3_transcriptomics,False,3.6827532557115066e-07
Ovarian,ARID1A,MC2R_transcriptomics,False,3.783117067732049e-07
Ovarian,ARID1A,SPRR3_transcriptomics,False,3.955095768563853e-07
Ovarian,ARID1A,ARRDC5_transcriptomics,False,4.022253791933887e-07
Ovarian,ARID1A,TRIM51HP_transcriptomics,False,4.0363846747229173e-07
Ovarian,ARID1A,ADAMTS8_transcriptomics,False,4.193722463176353e-07
Ovarian,ARID1A,GPHB5_transcriptomics,False,4.349021633970456e-07
Ovarian,ARID1A,CPD_transcriptomics,False,4.515197486100915e-07
Ovarian,ARID1A,LOC400553_transcriptomics,False,4.629967872794141e-07
Ovarian,ARID1A,FAM155A_transcriptomics,False,4.7557199603190953e-07
Ovarian,ARID1A,ENPP3_transcriptomics,False,4.780128117887541e-07
