Cancer_Type,Gene,Comparison,Interacting_Protein,P_Value
Endometrial,FSIP2,ZMIZ1_proteomics,True,0.0003252522036324897
Endometrial,FSIP2,CMAS_proteomics,False,2.3552039301219397e-06
Endometrial,FSIP2,VPS8_proteomics,False,3.7213657089512915e-06
Colon,FSIP2,PRDX5_proteomics,False,5.698865245327015e-06
Endometrial,FSIP2,ROPN1_transcriptomics,True,0.0012779864025009113
Colon,FSIP2,METAP1D_transcriptomics,True,0.0003018147692516159
Endometrial,FSIP2,LTBP4_transcriptomics,False,1.2454438104212878e-06
Colon,FSIP2,NR1I2_transcriptomics,False,1.0036267555644988e-08
Colon,FSIP2,CXCL14_transcriptomics,False,1.0837633471451504e-08
Colon,FSIP2,A1CF_transcriptomics,False,1.2285447244358956e-08
Colon,FSIP2,MOGAT3_transcriptomics,False,3.569567885192454e-08
Colon,FSIP2,PLA2R1_transcriptomics,False,4.227185819382044e-08
Colon,FSIP2,CYP2B6_transcriptomics,False,7.609309019600867e-08
Colon,FSIP2,SLC39A5_transcriptomics,False,8.356187088484468e-08
Colon,FSIP2,PRAP1_transcriptomics,False,9.341431990297145e-08
Colon,FSIP2,TCF7_transcriptomics,False,1.597422605860786e-07
Colon,FSIP2,SGK2_transcriptomics,False,1.6478366233743473e-07
Colon,FSIP2,JADE1_transcriptomics,False,2.013728029165072e-07
Colon,FSIP2,TYMS_transcriptomics,False,2.0790743944734755e-07
Colon,FSIP2,SLC3A1_transcriptomics,False,3.3977949691435906e-07
Colon,FSIP2,LY6G6D_transcriptomics,False,3.8610558856494063e-07
Colon,FSIP2,PLA2G4F_transcriptomics,False,4.6784497860860216e-07
Colon,FSIP2,LINC01560_transcriptomics,False,4.918297445740786e-07
Colon,FSIP2,DUSP4_transcriptomics,False,6.523569955576906e-07
Colon,FSIP2,CTTNBP2_transcriptomics,False,6.909268661937242e-07
Colon,FSIP2,PPP1R14D_transcriptomics,False,7.413238488414163e-07
Colon,FSIP2,NASP_transcriptomics,False,8.309954120285279e-07
Colon,FSIP2,RUBCNL_transcriptomics,False,9.578889614921734e-07
Colon,FSIP2,ACE2_transcriptomics,False,1.894978857711049e-06
Colon,FSIP2,RTTN_transcriptomics,False,2.1014764974060328e-06
Colon,FSIP2,SSUH2_transcriptomics,False,2.117384562362458e-06
Colon,FSIP2,TNNC2_transcriptomics,False,2.2939590562429715e-06
Colon,FSIP2,LINC00526_transcriptomics,False,2.3592677197436254e-06
Colon,FSIP2,IYD_transcriptomics,False,2.9309603011058485e-06
Colon,FSIP2,MAPK12_transcriptomics,False,2.9471362231193227e-06
Colon,FSIP2,ADNP2_transcriptomics,False,3.279001355052341e-06
Colon,FSIP2,RBFA_transcriptomics,False,3.4620605420168594e-06
Colon,FSIP2,PHOSPHO2_transcriptomics,False,3.499229505921591e-06
Colon,FSIP2,TINAG_transcriptomics,False,3.6992202183640962e-06
Ovarian,FSIP2,RASD1_transcriptomics,False,2.81109056653911e-07
Ovarian,FSIP2,C5orf27_transcriptomics,False,8.568228349313718e-07
Ovarian,FSIP2,MTNR1B_transcriptomics,False,1.9288251312801763e-06
Endometrial,FSIP2,LMNA-K270_acetylproteomics,False,1.4826953949439407e-06
Endometrial,FSIP2,LMNA-K208_acetylproteomics,False,2.1693499691073212e-06
Endometrial,FSIP2,HARS2-K58_acetylproteomics,False,2.935022926554645e-06
Endometrial,FSIP2,ALB-K183_acetylproteomics,False,3.567450804323156e-06
