Cancer_Type,Gene,Comparison,Interacting_Protein,P_Value
Endometrial,WDFY4,HERC2_proteomics,True,0.00182567299434846
Colon,WDFY4,MAP1LC3A_transcriptomics,True,0.0001962418761045424
Colon,WDFY4,IBTK_transcriptomics,True,0.0006463247210395387
Endometrial,WDFY4,MBD3L3_transcriptomics,False,2.2448694691233922e-07
Endometrial,WDFY4,GHRHR_transcriptomics,False,9.109165470258641e-07
Colon,WDFY4,VIL1_transcriptomics,False,8.701471320035612e-08
Colon,WDFY4,DUSP16_transcriptomics,False,1.0535269905478228e-07
Colon,WDFY4,SLC39A5_transcriptomics,False,2.464848662126049e-07
Colon,WDFY4,NR1I2_transcriptomics,False,3.3368881183264296e-07
Colon,WDFY4,CDK20_transcriptomics,False,3.676987120272783e-07
Colon,WDFY4,PRSS8_transcriptomics,False,4.3355627447061956e-07
Colon,WDFY4,STYX_transcriptomics,False,4.768290479371257e-07
Colon,WDFY4,DPEP1_transcriptomics,False,5.349111103076971e-07
Colon,WDFY4,CHML_transcriptomics,False,6.460696646106026e-07
Colon,WDFY4,ANTXR2_transcriptomics,False,8.853762873077746e-07
Colon,WDFY4,ZXDA_transcriptomics,False,1.074115466971359e-06
Colon,WDFY4,MOGAT3_transcriptomics,False,1.1429251100280727e-06
Colon,WDFY4,PPP1R14D_transcriptomics,False,1.2792118568668279e-06
Colon,WDFY4,HS3ST1_transcriptomics,False,1.3493873567550005e-06
Colon,WDFY4,LINC01006_transcriptomics,False,1.5545278141171938e-06
Colon,WDFY4,CDHR1_transcriptomics,False,1.5759424286206786e-06
Colon,WDFY4,IHH_transcriptomics,False,1.74324475036932e-06
Colon,WDFY4,FLJ20021_transcriptomics,False,1.8893960317357681e-06
Colon,WDFY4,GLOD5_transcriptomics,False,2.381288656526462e-06
Colon,WDFY4,MEP1A_transcriptomics,False,2.4299419548841027e-06
Colon,WDFY4,AXIN2_transcriptomics,False,3.0665529829527044e-06
Colon,WDFY4,AMACR_transcriptomics,False,3.435851567286195e-06
Colon,WDFY4,LOC102723354_transcriptomics,False,3.567231586034992e-06
Colon,WDFY4,SLC3A1_transcriptomics,False,3.578921154560395e-06
Colon,WDFY4,PMFBP1_transcriptomics,False,3.671908616913137e-06
Ovarian,WDFY4,SNORA55_transcriptomics,False,7.257617444192527e-09
Ovarian,WDFY4,LOC101927406_transcriptomics,False,1.1023168539207077e-06
Ovarian,WDFY4,TRPC3_transcriptomics,False,2.0920950685810622e-06
Endometrial,WDFY4,LMNB1-K241_acetylproteomics,False,1.0681446373677597e-06
Endometrial,WDFY4,KRT8-K500_acetylproteomics,False,3.974558466526227e-06
